pics,summary,tel,site,time,traffic,ticket,opentime,location,insides,id,name
5165,武汉大学前身为清末湖广总督张之洞创立的自强学堂，1928年，更名为“国立武汉大学”。 武汉大学濒临东湖，环抱珞珈山，校园内绿树成荫，中西合璧的宫殿式建筑群古朴典雅，巍峨壮观，一批建筑如宋卿体育馆、樱园老斋舍、图书馆、半山庐等，被列为全国文物重点保护单位，住宿区还有桂园、枫园、樱园、梅园等四大名园。网评武汉大学为中国十大最美高校之一。 古朴的建筑点缀于茂密的树林之间，四季花开不败，走在校园里，花香鸟语。拿一本书，找一个安静的地方，重温青春时光。,027-68755114,http://www.whu.edu.cn,2-3小时,在武汉到武大的公交车很多，乘317、413、515、519、552、564、572、587、591、608、724路在八一路珞珈山下车即可到达。,武汉大学在每年樱花季时期会向外来游客收取20元参观票，其余时间免费。,全天开放,武汉市武昌区珞珈山路16号,武汉大学樱花节,5812,武汉大学
2480,武汉长江大桥古香古色，一年四季，春夏秋冬景色各有千秋，春天凉爽，江风宜人；夏季气候炎热，傍晚伫立桥头凝望海天交接，心情疏爽；秋季硕果时节，看无限夕阳；冬季，要是有偶尔的小雪，站在桥头，感觉世界分外妖娆。 武汉长江大桥是新中国成立之后在长江上修建的第一座大桥，其正桥八墩九孔，每孔跨度达到128m。正桥钢梁由平弦菱形连续梁组成，钢梁设计三联，每联三孔。50年来，历经风雨沧桑的武汉长江大桥，巍然立在大江之上，肩负着每分钟60多辆汽车、每6分钟一列火车通过的荷载，经受了无数次洪水、大风的洗礼，更承受了76次碰撞事故的考验。专家最近检测得出的结论是：大桥的桥墩、钢梁等主体结构可使用100年以上。 自1955年建成以来，就经历过2001年一次比较大型的翻修，在武汉的众多桥梁之中，它是最可靠，维修最少的桥梁。,,,1小时,公交  乘坐11、 18、 25、 43、 514、 539、 542、 554、 566、 572、 573、 578、 607、 717、 804、 916路公交车至【临江大道平湖门】站下车即到。   自驾  从武汉站自驾车前往，全程约19公里。   步行  从黄鹤楼沿黄鹤楼南路步行至大桥，全程约800米。,免费参观 大桥桥头堡内有电梯，2元/人/次,全天,武汉市武昌区临江大道与滨江大道之间,,5803,武汉长江大桥
3182,位于武汉市东湖畔的湖北省博物馆，是我国重要的国家级博物馆，馆藏文物丰富。最值得看的是四大镇馆之宝：1978年出土于“曾侯乙墓”的曾侯乙编钟，音域宽广，音色优美，可以演奏中外各种乐曲，它的出土，改写了世界音乐史；中国冷兵器时代的精品之作越王勾践剑，至今锋利无比，在它边上展出的是“吴王夫差矛”，生前两人是死对头，死后两人的兵器“在一起”；郧县人头骨化石的地质年代距今约100万年，早于北京猿人的头骨化石；元青花四爱图梅瓶，是元代青花瓷中极其罕见的精品。“元青花”制作精美而传世极少，反映人物图案的器物更为罕见。,027-86794127,http://www.hbww.org/,2-3小时,公交   1、乘坐14、108、402、411、552、578、701、709路至【省博物馆】站下。  2、乘坐605、709、712路至【黄鹂路】站（湖北日报对面）下。,免费开放，编钟定时演奏：30元，每次表演20分钟；每日上午10:30、11:30和下午14:30、15:30各两场。,周二—周日9:00-17:00（15:30停止入场），周一（除国家法定节假日除外）闭馆。,武汉市武昌区武昌东湖路156号,,6221,湖北省博物馆
4311,黄鹤楼位于武昌江畔，紧邻长江大桥，有“天下江山第一楼”的美誉，是地理上武汉的中心。因为建于蛇山之上，再加上5层的楼高，以及周边无高层建筑，所以这里的视野非常开阔。除了黄鹤楼之外，景区内还有大量的石碑、石刻，都是历代名人的真迹。这里绿化非常高，不行在山间非常惬意。每天在落梅轩还有楚地特色的编钟表演，时间分别为10:00，11:40，14:20，16:00，表演免费。,027-88871394,,2小时,电车1路、电车4路，公交10、61、64、108、401、402、411、413、584等路到黄鹤楼站下。或者乘车在阅马场下车（参见首义广场交通）,A.免票政策：儿童在1.2m以下免票，70周岁以上的老人（凭身份证或老年证）免票，现役军人（凭现役军人有效证件）免票、残疾人（凭残疾人证）免票 B.优惠政策：身高1.2-1.4m购儿童票40元，60-69岁的老人（凭身份证或老年证）预订老年票40元，（本科及以下）持有效学生证购票40元,07:30—18:30(4月1日至10月31日)；07:30—17:30(11月1日至3月31日,湖北省武汉市武昌蛇山,,5426285,黄鹤楼
2025,汉东湖风景区位于武汉市城区，景区面积73平方公里，是中国最大的城中湖。主要游览景区有磨山景区、听涛景区、落雁景区、吹笛景区（马鞍山森林公园）、东湖樱园、东湖鸟语林等。在这里可以与自然亲密地接触，可以呼吸到新鲜的空气，每天早晚都有自行车爱好者在这里骑车环湖。,027-86773706,,3-4小时,公交  1、乘坐22路公交车可直达东湖风景区。  2、乘坐14、108、402、534、537、578、605、777、810路公交车可达东湖听涛景区。  3、乘坐401、402、413、515、643路公交车可达东湖磨山景区。   出租车  武汉有两种出租车，一种是富康和爱丽舍车型，起步价6元/2公里，8元/3公里，之后1.4元/km；另一种是新款东风雪铁龙凯旋车型，起步价8元/2公里，之后1.6元/km。另加收2元燃油附加费。,听涛景区免费，磨山风景区60元，落雁景区13元，马鞍山森林公园旺季20元，淡季10元（每年3月11日至6月10日、9月11日至12月10日为旺季）； 磨山索道（单/双）：15/25元,东湖风景区内各景点开放时间略有不同。   听涛景区：8:00-17:00；磨山景区：7:30-17:00；落雁景区：8:30-17:00  湖北省博物馆：9:00-17:00（15:30停止入馆，每周一闭馆）  马鞍山森林公园：8:00-17:00（冬季）、8:00-17:30（春、夏、秋季）,湖北省武汉市武昌区沿湖大道附近,,5774,东湖
4273,这条普普通通的街区，仅有一千二百米，居然集中了几十处近百年的老建筑物：教堂、医院、学校、名居、花园、领事馆等等。这些百年前的老建筑物虽然经历了一个多世纪的沧桑，却在历史的长河中钩沉发微，折射出历史的光泽和心酸。它的一砖一石，勾勒出武汉城市发展的轨迹；它的轶事旧闻，反映了武汉市历史上的风云变幻；它的别致名居，记录了武汉多姿多彩的风土人情。,,,2-3小时,昙华林的范围比较大，所以过去的公交车很多，主要有以下三大类选择：乘11 、14、18 、19 、514 、515、521、529、530 、539 、542、554、566 、572 、573 、607路等20条公交车到司门口；乘15、34、43、 315、554、576路公交车中山路积玉桥；乘11、511、514、530、539、542、584、606、607、717、729、804路公交车到和平大道积玉桥。 此外、也可乘地铁2号线在螃蟹岬下车，然后步行至昙华林。,免费,全天开放,武汉市武昌区花园山附近,,6163,昙华林
599,江汉路始名于20世纪30年代，曾有“车马如梭人似织，夜深歌吹未曾休”的诗名来形容它，也有“小香港”的提法。在此，还可见30年代遗留下来的西洋建筑，曾是有名的商业门点集中区。 江汉路经过几十年的发展，现在成为汉口最繁华的区域之一，人流量大，店铺达400余家，其中有经营特色的专业店和老字号90多家，近30个行业。老字号的包括解放前繁盛一时的人民饭店、璇宫饭店、孙中山亲笔所书“精益求精”店名的精益眼镜店、为抵制日货而开的国货百货大楼，现名中心百货大楼、专卖洋钟表的亨达利钟表店、冠生园、华康副食、滋美食品厂、武汉中药店、四季美汤包馆。 这里也是武汉的美食聚集地，各类中餐、西餐、韩国烧烤、日本料理、火锅、快餐、各地风味美食只有你想不到没有你吃不到。,,,1-3小时,1. 乘坐地铁二号线，在“江汉路”站下车即到。 2. 在市区乘坐1、2、7、24、38路公交车在“中山大道江汉路”站下车就到。乘坐290、526、553路公交车在“京汉大道江汉路”站下车即到。,无需门票,全天,武汉市江汉区江汉路,,35611,江汉路
592,武大的樱花，3月下旬至4月初樱花开，门票20元，其他时间免费。,,,半天,,门票20人民币,3月下旬至4月初,从武汉大学正门进，也就是“国立武汉大学”牌坊，进去,,5778,武汉大学樱花节
932,磨山景区，居东湖中心，三面环水，逶迤六峰，是东湖风景名胜区的六个景区之一。古朴、恢宏的楚文化旅游区位于磨山景区内：仿古代章华台而建、可与江南三大名楼媲美的楚天台；反应先秦时期国家象征的楚城城门；被楚人视为真善美化身的凤凰（铜雕）；古楚国人进行商贾贸易的楚市；比泰山御字碑还大、毛泽东手书的“离骚碑”；展观楚国八百年风云历史中的名君、名相、名人、名事的“唯楚有才”雕塑园等等。这些景点文化内涵丰富、建筑艺术精湛，在全国独有。,027-87910179,,2-3小时,公交  1、乘坐401、403、643路公交车至【鲁磨路梅园】站下车即可。  2、乘坐402、413、515路公交车至【东湖东路梅园】站下车即可。,成人票60元  优惠政策  1、1.3米以上儿童、60-70岁老人、学生30元。  2、1.3米以下儿童、70岁以上老人免票。,7:30-17:00,湖北省武汉市东湖生态旅游风景区内（中国地质大学北部）,东湖樱花园,5811,磨山景区
1945,这里是辛亥革命第一枪打响的地方，其主体分为南北两个广场，北广场是原为清末湖北省谘议局，武昌起义成功后，革命党人在这里成立军政府，一度代行“中华民国中央政府”职权，现为辛亥革命武昌起义纪念馆；因其主体建筑为红色楼房，因此又被称为“红楼”。南广场是为纪念辛亥革命一百周年新修的广场，其间矗立着一个红色三角形建筑为辛亥革命博物馆。,027-88877172;027-88875306,,1小时,公交 1、乘坐61、222、503、519、522、536、537、596、608、703、728路公交车至【阅马场】站即达 2、乘坐10、61、108、401、电1、电4路公交车至【黄鹤楼】站下，再向东南方向步行月200米即可。,辛亥革命纪念馆，免费，每30分钟免费派发35张票。但必须登记个人信息； 辛亥革命博物馆，免费，在广场票亭凭个人有效证件领取参观券。,辛亥革命纪念馆，周二至周日，每天9：00-17：00，16：00起停止入馆； 辛亥革命纪念馆，每周二至周日，每天9:00-17:00，16：00起停止入馆，领票时间为开放日的9:00-11:30；13:00-16:00。,湖北省武汉市武昌区武珞路1号,,5807,武昌起义军政府旧址
2163,佛殿仿照缅甸阿难陀寺建造，是一座典型的具有浓郁异域建筑风格的寺庙。是汉传佛教唯一、世界仅存两座此类风格的佛教建筑之一，具有重要的宗教、建筑和文化历史价值。 它隐匿在城市的高楼之中，是一个很多武汉人都不知道的地方，所以香客极少，可谓真正的佛门清净地。对于喜欢清静、对建筑有兴趣的游客来说，是不可错过的地方之一！,027-82907553,,1-2小时,乘车30、电3路，电2路，到工农兵路国宾酒店站下，往前步行可以看到育才高中，走过育才高中可以看到一个岔路口，从左边路口往里走50m左右就到古德寺了； 也可以乘坐轻轨一号线，在“头道街”站下。下了天桥到路北，往西进入一条南北走向的小巷新建街，北走至上滑坡。沿上滑坡走到工农兵路东转，可以见到古德寺的正门。,进门需要交香火钱，有三种：8、15、38元，分别对应不同大小的香，每人三支。,7:00-17:30,武汉市江岸区解放大道黄浦路75号,,5798,古德寺
1069,汉口江滩位于长江武汉市区北岸，面积160万平方米，与沿江大道景观相邻，与龙王庙景点相连，与江汉路步行街相接，与黄鹤楼景区相望，与长江百舸争流相映，构成武汉市中心区独具魅力的景观中心。  汉口江滩是公园性质的市民休闲场所，与武昌江滩和汉阳江滩一起成为世界上最大的城市内部公共休闲场所。汉口江滩除了一排类似上海外滩的租界建筑外，最有名的就数深秋的芦苇了。江滩芦苇主要分布在长江二桥附近，连绵4km左右，最宽处有一百多米。在城市的中心地带有如此壮观的芦苇丛，这在中国大城市中绝无仅有，已成为武汉一道靓丽的风景。每年深秋（10-12月），芦花盛开，伴着滔滔江水，十分壮观，游人不绝，许多新人也在此拍摄婚纱照。,,,2-3小时,在武汉市区有多部公交车可以到汉口江滩。可以乘坐1、30、212、502路公交车在“沿江大道三阳路”站下车；或者乘坐30、68、212、248路公交车在“沿江大道粤汉码头”站下车；或者乘坐9、30、56、68、207路公交车在“沿江大道武汉港”站下车即到。,无需门票,全天,武汉市江岸区沿江大道,,6153,汉口江滩
795,位于汉阳归元寺座落在武汉市汉阳区翠微路西侧。清顺治十五年(1658年)，由浙江僧人白光、主峰来此创建。取名“归元”， 出自佛经《楞严经》归元无二路，方便有多门”。归元即归真，就是超出生灭之界，还归于真寂本源的意思。在佛教中，归元寺属于曹洞宗(该宗系禅宗五家七宗之一)，故又称归元禅寺。它与宝通寺、溪莲寺、正觉寺合称为武汉的四大丛林。,027-84844756,http://www.guiyuanchansi.com.cn/,1-2小时,到归元寺门口的只有一辆车401。另外可以选择乘坐45、532、559、727、728等车在鹦鹉大道西大街下车，步行600m抵达归元寺,10元 在黄金周期间，票价有可能会上浮,8:30-17:00，每年春节期间会延长开放时间,武汉市汉阳区钟家村翠微路6号,,5434154,归元寺
1388,"晴川阁，又名晴川楼，位于武汉市汉阳区晴川街，坐落在长江北岸、龟山东麓的禹功矶上，北临汉水，东濒长江。晴川阁与武昌黄鹤楼夹江相望，江南江北，楼阁对峙，互为衬托，蔚为壮观，有“三楚胜景”之称。 晴川阁始建于明代嘉靖年间，其名取自唐代诗人崔颢诗句""晴川历历汉阳树""。因与对岸黄鹤楼隔江对峙，相映生辉，被称为""三楚胜境""。",027-84710755,,1小时,乘30、108、248、531、532、535、553、559、561、648、711、803路到晴川阁下车即达,免费，只需登记即可,9:00-17:00（16:30停止发票）。每月第二周的周二闭馆整修一天（国家法定节假日除外）；每周四15:00闭馆。,武汉市汉阳区洗马长街86号,,31630,晴川阁
727,东湖樱园是除了武汉大学之外武汉赏樱最佳去处，每年3月满园樱花盛开，无数游人聚集于此。,027-87510139,,,,与东湖磨山景区相连，属于一个景区。,,湖北省武汉市洪山区鲁磨路,,35616,东湖樱花园
142,华中科技大学位于长江中游楚文化发祥地——武汉市，由原华中理工大学、同济医科大学、武汉城市建设学院合并成立，是全国重点大学、“985工程”、“211工程”、“2011计划”首批重点建设高校，被称作“新中国高等教育发展的缩影”。校园占地7000余亩，依山傍水，绿草如茵，树木葱茏、环境优美，景色秀丽，被誉为“森林大学”，是读书治学的理想园地。,027-87541114,,1小时,乘坐15路、18路、25路、340路、510路、513路、518路、518路通宵车、518区、521路、536路、591路、613路、702路、703路等在“珞喻路关山口”站可到。,免费,全天,武汉市洪山区珞喻路1037号,,5785,华中科技大学
210,武昌江滩充满了朴实的本地生活气息。 在夏日的夜晚，很多市民来这里吹吹江风，看对面汉口江滩的夜景，或者放风筝、抽陀螺和锻炼身体。,,,1-2小时,公交： 乘坐16路、43路环线到【临江大道大堤口】站，下车即到。 乘坐15路、343路、576路到【中山路大堤口】站，下车即到。 乘坐11路、15路、43路环线、343路、514路、530路内环、530路外环、539路、542路、554路、566路、576路、607路、804路到【中山路解放路】站，下车步行470米即到。  出租车： 武汉有两种出租车，一种是富康和爱丽舍车型，起步价6元/2公里，8元/3公里，之后1.4元/km；另一种是新款东风雪铁龙凯旋车型，起步价8元/2公里，之后1.6元/km。另加收2元燃油附加费。,无需门票,全天,武汉市武昌区临江大道武昌江滩,,3302431,武昌江滩
252,,,,,,,,湖北省武汉市江岸区沿江大道与江汉路交汇处,,6630975,江汉关大楼
97,珞珈山位于中国湖北省武汉市武昌中部，东湖西南岸边，由十几个相连的小山组成。珞珈山海拔118.5米，为东湖南岸临湖最高峰，山顶可远眺东湖全景和武汉景色。珞珈山属亚热带湿润季风气候，四季明显。珞珈山植物茂盛。大部分种类的植物都是国立武汉大学建立后引种的。,,,2小时,,18.00元,08:00~17:00,武汉市武昌区,,6222,珞珈山
349,中国科学院武汉植物园创建于1956年，是集科学研究、物种保存、科普教育和休闲旅游于一体的国家三大核心植物园之一，收集栽培了以华中地区资源植物和我国内陆水生植物为主的各类植物10293余种，是华中地区最丰富的植物物种多样性与种质资源保存基地，拥有全球最大的水生植物资源圃和猕猴桃种质资源圃。武汉植物园为国家AAAA级风景旅游区，先后被评为全国科普教育基地、全国青少年科技教育基地、湖北省和武汉市科普教育、环境教育及爱国主义教育基地。（1）荷兰郁金香展华中地区展出面积最大、品种最全的郁金香花展将与春节前夕在武汉植物园举行。本次郁金香花展共展出‘夜皇后’、‘王子’、‘天使’、‘普瑞斯玛’、‘城市之花’、‘艾伦妮公主’等60多个欧洲最新品种，近百万朵红似火、黄如金、白似雪，千姿百态，文雅高贵的郁金香芬芳满园，与湖岸风车、别具特色的木鞋造型互为点缀，让你身临其境，荡漾在花的海洋中，带你走进大洋彼岸库肯霍夫般的童话春天。本次花展将持续到4月份。（2）兰韵天城兰展世界各地缤纷绚丽的热带兰花汇聚一堂争奇斗艳，将武汉植物园葱茏的热带雨林景观装点得更加美丽。在热带兰花精品展区，来自美国夏威夷、哥伦比亚、马来西亚、新加坡等地的兜（兰）王、兜（兰）后、蜘蛛兰、章鱼兰、蜈蚣兰、鸽子兰珍奇兰花均是首次与市民见面，在寒冷冬季品赏这些浓艳的热带植物，别有一番滋味。（3）中华桃花卉展　 02俗话说“谷雨三月赏牡丹”、“三月桃花俏”，武汉植物园运用花期调控，使得代表吉祥、富贵、昌盛等寓意的桃花提早开放。桃花将纷纷开花，多达24个品种，从花期最早的山桃花，到最晚的绛花碧桃，姿态各异、绚丽多彩，可持 交通,027-87510783,http://www.whiob.ac.cn/,2-3小时,,成人票40元，1.2米以下免票 ，1.2米以上学生凭学生证半票，老年票、军官票、记者票、导游票须凭证免票。,8:30—17:00。,湖北省武汉市武昌区鲁磨路北端特一号,,5429419,武汉植物园
848,“汉阳造”艺术区，又名“824创意工厂”，地处武汉龟山脚下。艺术区所用的废弃工业厂房，原为中国洋务运动时期张之洞汉阳兵工厂和824工厂的一部分。武汉824工厂为新中国的代号军工厂，和北京798工厂有着类似的历史背景。 园中随处可见涂鸦、行为艺术、创意雕塑，也有婚纱摄影店、咖啡馆、葡萄酒窖、陶艺馆、创意店，还有一家LOFT青年旅舍......,,,1小时,乘10、 64、507、 524、542、598、608、609、701、703、705、706、806等到鹦鹉大道古琴台下车，向龟山方向走，见到沿龟山而去的龟北路，走过去，便是“汉阳造”了。,免费,全天,汉阳区龟山北路1号,,35620,汉阳造艺术区
214,,027-59511208,,2小时,,免费,全天开放。,湖北省武汉市江岸区沿江大道,,6630965,江滩公园
372,武汉欢乐谷占地约35万平方米，于2012年4月29日开园迎宾，由梦想大道、卡通工厂、欢乐时光、极速世界、渔光岛、羽落天堂、飓风湾、 欢乐江城等八大主题区域组成，全新设置了100多项娱乐体验项目，包括30多项游乐体验设备、40多处生态人文景观、10多台文化演艺精品和20多项主题娱乐游戏，精彩诠释多元欢乐。,027-88518856,http://wh.happyvalley.cn/index.html,1天,乘公交到华侨城公站下车即到,成人票180元，儿童票/长者票110元（儿童1.1m-1.4m;长者65岁-70岁），大学生票140元（全日制在校大学生，不包含研究生、自考类、成教类、网络招生类、继续教育学院类、港澳台三地大学生），免费（70岁以上，1.1m以下，普通残疾人1-3级伤残，军残证1-6级凭证免费入园，其他的残疾人凭有效证件购110元优惠票入园）,周一-周五:9:30 -18:00  周六、周日:9:00 -18:00 （有时候有夜场）,武昌区东湖生态旅游风景区欢乐大道196号,,5428428,武汉欢乐谷
299,,,,,,,,武汉 汉街,,3314976,汉街
46,,,,,,,,位于武汉长江大桥下游6.8公里处,,9926,武汉长江二桥
564,黎黄陂路是以辛亥革命领导人黎元洪来命名的，黎黄陂路两侧仍保留了大约17处租界时代遗留的欧式建筑，包括华俄道胜银行旧址、俄国巡捕房旧址、中华基督教信义大楼旧址、美国海军青年会旧址、俄租界工部局旧址、高氏医院旧址、基督教青年会、顺丰洋行、邦可花园、惠罗公司、巴公房子、首善堂和万国医院旧址等。,,,1小时,可乘559、588、598、707、711路到黎黄陂路站下车即到,免费,全天,湖北省武汉市江岸区黎黄陂路,,35815,黎黄陂路街头博物馆
438,相传春秋时期楚国琴师俞伯牙在此鼓琴抒怀，山上的樵夫钟子期能识其音律，知其志在高山流水。伯牙便视子期为知己。几年以后，伯牙又路过龟山，得知子期已经病故，悲痛不已的他即破琴绝弦，终身不复鼓琴，后人感其情谊深厚，特在此筑台以纪念。,027-84834187,,0.5小时,乘10、 64、507、 524、542、598、608、609、701、703、705、706、806到鹦鹉大道古琴台下车，步行400m就可以到达古琴台。,15元/人。,8:30-17:00,琴台大道10号,,5805,古琴台
177,光谷步行街3期的意大利风情街，位于1350米光谷步行街的核心地段，也是整条街建筑艺术的精华篇章。文艺复兴式的意大利艺术建筑，婚庆街、酒吧街等浪漫主题定位，为刚猛的大武汉带来前所未有浪漫柔情。来自米兰市中心的多莫大教堂，来自罗密欧与朱丽叶故乡的爱情纪念墙，来自威尼斯街头的音乐喷泉，来自古罗马广场的人物雕像，来自托斯卡纳的建筑风情。,,,,"702、703、536、518、540、581、728等20余条公交线路通达武汉三镇，地铁2号线江南起点站在步行街下，中环线通车后，从光谷直达汉阳汉口，到天河机场50分钟左右；地铁2号线武昌起点站,地铁2号线",,,湖北省武汉市洪山区武昌东湖开发区光谷广场东光谷步行街,,6930442,意大利风情街
175,位于武汉市黄陂区北部的木兰生态旅游区，总面积947平方公里，距武汉市区中心约50公里。该区包括6个乡镇和2个风景管理区(即木兰乡、长轩岭镇、姚家集镇、蔡店乡、李集镇、王家河镇、木兰山风景管理区、木兰湖旅游度假区)。区域内名胜景点众多，独具木兰人文特色。2001年黄陂被评为湖北省优秀旅游区。木兰生态旅游区被列为中国二十一世纪议程优先发展项目。优美的生态环境，孕育了丰富多彩的动植物群落，极具持续发展潜力。目前，木兰生态旅游区初具规模，呈现出社会生态效益和旅游经济效益良性互动发展的良好势头。,027-61518928,,1天,,80.00元,07:30~17:30,湖北省武汉市黄陂区,,5434165,木兰天池
101,,,,,,,,武汉市武昌区彭刘杨路,,35614,首义文化公园
57,华中师范大学（Central China Normal University），简称华大、华中师大，华师，坐落于湖北省武汉市武昌南湖之滨的桂子山上，是中华人民共和国教育部直属的综合性全国重点大学，是中国教育部直属重点高水平、研究型综合性大学；是中国武汉著名的七校联合办学高校之一，是首批列入中国“211工程”和“985工程优势学科创新平台”；“111计划”即高等学校学科创新引智计划高校之一；“千人计划”即海外高层次人才引进计划高校之一；国家六所重点综合性师范大学之一；国家师范生免费教育试点高校；是国家培养中、高等学校师资和其他高级专门人才的重要基地，国家首批批准的具有博士、硕士学位授予权的单位，2009年正式成立研究生院。,,http://www.ccnu.edu.cn/,,,免费,全天,湖北省武汉市洪山区 珞喻路152号,,5690787,华中师范大学
94,始建于1914年。前身为一私家花园，名曰“西园”。1927年收归国有，1928年为纪念孙中山先生而命名为“汉口中山公园”。既现在的武汉中山公园。武汉中山公园占地32.8万平方米，其中水上面积7万平方米，是武汉市历史悠久的文化休憩公园。。绿地率91%，古树名木140株。景观功能分前、中、后区。其中西合璧的园林风景，淳朴隽永的人文景观，惊险有趣的游乐项目一直受到广大游人的赞誉。始建于1923年，后几经扩建，园内有湖心亭、深秀亭、回瞰阁、落虹桥、步桥、游泳池、人民会尝儿童运动常图书阅览室、梅花园、动物园、岩石园等。现在的公园分前、中、后三个景区。基本保留了建国前的园艺格局：人造湖、假山、楼台亭阁及网球尝溜冰尝中山科技馆、日晷、张公亭、四顾轩、落虹桥等巧布其间。中区主要有观鱼池等景点。后区较宽阔，辟有草坪、梅山、岩园、楼山等小区，并设有“三峡屏”、“啜茗轩”、“霁雪楼”等景观及西游记宫、水上世界等。全园有花卉160多种，共1.5万余盆，其中菊花佳品最多，年产万余盆；还有成型树木1.2万余株，使园内绿树成荫，空气清爽。,027-85780746,,2小时,,门票2元，纪念堂5元,,武汉市汉口江汉区解放大道1265号,,6218,中山公园
223,武汉极地海洋世界是目前国内唯一的多层多馆组合式室内极地海洋主题公园。场馆的外型犹如一只巨大的白鲸，跃入江城武汉。内有极地与海洋珍稀动物和鱼类（帝企鹅、北极熊、伪虎鲸、白鲸、海象、海豚等）的展示、表演与互动。是体验南北极和海洋风貌，感受极地海洋文化梦幻之旅的最佳选择。,027-85699999,http://www.hcwhjd.com/,1天,海昌武汉极地海洋世界位于东西湖区三环线盘龙大道出口处，目前可直接到达该景区的公交线路为35路、216路、290路、291路、296路、563路。或者地铁二号线金银潭站 转乘216路。,极地海洋世界门票实行一票制，定价150元；优惠人群：1.2m以下儿童免费（一个大人只能带1名免票儿童），1.2-1.4m儿童半价；60岁以上老年人、残疾人凭有效证件半价优惠。,9:00-18:30,湖北省武汉市东西湖区金银谭大道96号,,5614889,武汉海昌极地海洋世界
166,,027-87116188,,,,,,武汉市武昌区第一街区楚河汉街21号,,7047467,武汉杜莎夫人蜡像馆
221,居全国四大梅园之首，是全国著名的赏梅胜地，又是我国梅花研究中心所在地。占地800余亩，地栽梅花近万株，东湖梅园现有梅花品种309个，其中已进行国际登录的品种有152个。 每年2-3月梅花开放,027-87510452,,2小时,交通并不太方便市内仅有401、402直达，在东湖梅园下车即到；或者乘出租车前往。,每年1-3月为旺季，门票价40元，其他时间执行淡季价格10元。,8:00-17:30,武汉市洪山区鲁磨路东湖风景区内,,5773,梅园
222,,027-86620247;027-86773706,,,,,,台北路225号,,3270405,武汉市东湖风景区
