pics,summary,tel,site,time,traffic,ticket,opentime,location,insides,id,name
91,华中农业大学（Huazhong Agricultural University），简称华中农大，华农。华中农业大学是中华人民共和国教育部直属的全国重点大学，是中国武汉著名的七校联合办学高校之一，是首批列入中国“211工程”、“985工程优势学科创新平台”、“863计划”、“111计划”、“2011计划”及“千人计划”重点建设高校，是一所以农科为优势，以生命科学为特色，农、理、工、文、法、经、管相结合的国家综合性重点大学，是国家生命科学与技术人才及农业现代化建设优秀人才培养的重要基地，是全国办学历史最长的高等农业院校，是我国高等农业教育的重要起点之一。学校位于湖北省武汉市武昌南湖狮子山，已有115年的办学历史，前身是清朝光绪年间湖广总督张之洞1898年创办的湖北农务学堂，几经演变，1952年由武汉大学农学院和湖北农学院的全部系科以及中山大学等6所综合性大学农学院的部分系科组建成立华中农学院。1985年更名为华中农业大学。,027-87395964,http://www.hzau.edu.cn/ch/home/,,学校周围公交：571，576，591。 571：华农狮子山经武昌火车站到汉口协和医院（中山公园） 576：华农狮子山经亚贸，洪山广场至大堤口（武昌江滩） 591：华农狮子山经武大，华科，到烽火路（森林公园）,,,湖北省武汉市洪山区狮子山街1号,,6725646,华中农业大学
76,,,,,,,,湖北省武汉市江岸区汉口大智路,,6630969,吉庆街
75,,,,,,,,湖北省武汉硚口区,,35633,晴川桥
226,,027-86796067,,,,,,中国湖北省武汉市武昌区东湖路1号,,5684044,湖北美术馆
109,龟山或鲁山是中国湖北省武汉市市内名胜古迹较多的山。古时，此山被名为翼际山。位于武汉市汉阳城北，为武汉市名胜古迹较多的三山之一。龟山风景区在历史上就是有名的游览胜地。龟山前临大江，北带汉水，西背月湖、南濒莲花湖，威武盘踞，和武昌蛇山夹江对峙，形势十分险峻龟山主要以山上史上留下的名胜古迹而著名。这主要包括关王庙、藏马洞、磨刀石、太平兴国寺、桂月亭状元石、禹王宫、月树亭、桃花洞罗汉寺、龙祥寺、鲁肃墓、向警予烈士陵园和红色战士公墓等等。,027-84711552,,半天,乘10、 64、507、 524、542、598、608、609、701、703、705、706、806等到鹦鹉大道古琴台下车，下车往回走就可以看到龟山了。,15元,经营时间7:00-17:30；晨练时间5:30-7:00（免费）,中国湖北省武汉市汉阳区龟山北路龟北路特1号,,3303451,龟山
152,武汉市博物馆位于汉口青年路 373 号，西距汉口火车站 300 米 。 2001 年 10 月 1 日 正式对外开放。总建筑面积 17834 平方米 ，陈列面积 6000 平方米 (其中交流展厅面积 1000 平方米 )。建筑壮丽巍峨，集东方文化的典雅与现代化功能于一体，蔚为景观。,027-85872318,,,,免费,,武汉市汉口青年路373号,,5434197,武汉市博物馆
131,这里是辛亥革命第一枪打响的地方，其主体分为南北两个广场，北广场是原为清末湖北省谘议局，武昌起义成功后，革命党人在这里成立军政府，一度代行“中华民国中央政府”职权，现为辛亥革命武昌起义纪念馆；因其主体建筑为红色楼房，因此又被称为“红楼”。南广场是为纪念辛亥革命一百周年新修的广场，其间矗立着一个红色三角形建筑为辛亥革命博物馆。,027-88875306;027-88051911,http://www.1911museum.com/,3小时,公交728、703、608、61、222、503、519、522、536、537、596等路到阅马场即达,辛亥革命纪念馆，免费，每30分钟免费派发35张票。但必须登记个人信息； 辛亥革命博物馆，免费，在广场票亭凭个人有效证件领取参观券。,辛亥革命纪念馆，周二至周日，每天9:00-17:00，16:00起停止入馆； 辛亥革命纪念馆，每周二至周日，每天9:00-17:00，16:00起停止入馆，领票时间为开放日的9:00-11:30；13:00-16:00,武昌区阅马场,,5434221,首义广场
99,,027-87651441,,,,,,武汉市武昌区雄楚大街,,6206,武汉理工大学
34,,,,,,50元,8:00-17:00,武汉市武昌区武昌东湖翠柳村特1号,,35615,落雁岛
38,,027-67842763,,,,,,武汉市洪山区民族大道708号,,35643,中南民族大学
119,美术馆就位于汉口繁华的南京路，从江汉路步行就可以到达。这里经常会有一些艺术展览，以画展、照片展、书法展为主，有时候还会举办报告会。是喧闹的都市中一片很不错的安静的地方。,027-82602713,http://www.wuhanam.com/,1小时,乘坐2路电车、7、24、38、45、301、402、520、533、548、559、581、588、598、608、707、711、727、801路至南京路车站即达。,免费,9:00-17:00（16:00停止入场）逢周一闭馆，节假日照常开放,武汉市江岸区保华街2号(中山大道与保华街三角岛上),,6243,武汉美术馆
93,,,,,,10元,,湖北省武汉市汉阳区洗马长街,,35812,铁门关
78,宝通禅寺位于武昌洪山南麓，为历世清净佛刹。1983年被国务院确定为汉族地区佛教全国重点寺院。 宝通禅寺位于武昌洪山南麓，是武汉市著名佛教四大丛林之一。1983年为国务院确定的全国汉传佛教重点开放寺院，1992年列为湖北省文物保护单位，是三楚第一佛地。做法事宝通禅寺，历史悠久，驰名中外，始建于南朝刘宋年间(420-479)，初名东山寺。唐贞观年间(627-649)易名弥陀寺；南宋端平年间(1234-1236)更名为崇宁万寿禅寺，是武汉现存最古老的寺院。净土宗、禅宗、密宗，多宗会聚，在历史上曾得到唐文宗等十位皇帝和六位王侯的大力护持，是最具典范的皇家寺院。寺内殿宇楼阁依山而建，层叠有致，隐现自然，古朴庄严，方圆150亩，面积最大。文物荟萃，宋钟、元塔、须弥座、明狮；古迹繁多，摩崖石刻，洪山八景，最具佛教文化内涵。我国近代佛学泰斗太虚大师创办的武昌佛学院1994年在宝通禅寺复办，是近现代最重要的僧伽教育基地。,027-87884539,,,,,,武汉市武昌区武珞路549号,,5789,宝通禅寺
148,"大禹神话园是武汉市汉阳江滩的一部分，位于汉阳晴川阁与武汉长江大桥之间的长江江滩之上，是以大禹神话雕雕塑为主题的景观园。大禹神话园长约400米,宽约60米，分上、中、下三区和中国洪水文化展示馆共四个部分：上区：从长江大桥汉阳桥头北侧，至大禹祭祀台（现江堤箱式防水墙）南侧，由玉面人像、双龙门、“应龙画河海”青铜雕和禹父鲧治水透雕组成。中区：以大禹祭祀台及相连的圆形九鼎广场为中心，由“剖鲧禹生”、“搏杀相柳”、禹阅九鼎铜雕和“三过家门不入”圆雕，以及大禹北方治水神话传说系列高浮雕组成。这些雕塑堪称珍品，其中，“大禹北方治水”是目前国内最大的高浮雕。下区：从大禹祭祀台北侧至晴川阁景区外墙江滩边，以大禹南方治水神话等散点链式石雕、印章蓝田石刻，以及6米高的镇江柱等组成。中国洪水文化展示馆：长约80米，临汉阳洗马长街，青石板地面，内有800平方米展厅。",027-84710440,,,,,,湖北省武汉市汉阳区滨江大道汉阳江滩69,,31613,大禹神话园
163,东湖磨山景区位于湖北省武汉市，磨山景区是目前中国最大的楚文化游览区、中国梅花、荷花研究中心所在地、世界三大赏樱胜地之一、是市民休闲娱乐的绝佳场所。磨山景区是东湖风景名胜区的核心景区之一。她居东湖中心，三面环水，逶迤六峰，总面积12平方公里。国家AAAAA级景区。,027-87510139,,,,,,中国湖北省武汉市洪山区东湖磨山,,195896,东湖磨山
86,,027-82868804,,,,,,武汉市江岸区解放大道1861号,,5766,解放公园
39,,027-67883110,,,,,,湖北省武汉市洪山区鲁磨路388号,,7392100,中国地质大学
56,武汉东湖海洋世界由福建龙川集团及亚讯科技（香港）集团联合投资2.5亿元兴建，建筑面积3万平方米，坐落在著名的国家风景区武汉东湖，展示千余种万余尾海洋珍稀鱼类。整个展馆由9个展区组成—热带雨林馆、海底隧道、水母馆、长江鱼馆、海洋剧场企鹅馆、标本馆、精品馆、3D艺术馆等。游客在东湖海洋世界里可尽享亚马逊原始雨林的神秘莫测、海底景观的深邃迷离、海洋生物的斑斓夺目、人鲨共舞的惊心动魄、海兽表演的幽默诙谐、企鹅宝贝的憨态可鞠。东湖海洋世界已成为游客休闲旅游的好去处和了解海洋、走进海洋、热爱海洋、保护海洋的窗口与课堂。武汉东湖海洋世界集观赏性、游乐性、趣味性、知识性于一体，被国家和盛市有关部门确认为“科普教育基地”，是目前最具特色、国内一流的大型海洋动感世界。游客在东湖海洋世界里可尽享亚马逊原始雨林的神秘莫测、海底景观的深邃迷离、海洋生物的斑斓夺目、人鲨共舞的惊心动魄、海兽表演的幽默诙谐。东湖海洋世界已成为游客休闲旅游的好去处和了解海洋、走进海洋、热爱海洋、保护海洋的窗口与课堂。武汉东湖海洋世界集观赏性、游乐性、趣味性、知识性于一体，被国家和盛市有关部门确认为“科普教育基地”，是目前最具特色、国内一流的大型海洋动感世界。[编辑本段]精彩的海兽表演武汉东湖海洋世界的海兽剧场里，每天都有来自非洲的灰海狮明星“菲菲”先生、“澳澳”小姐和来自我国东北的海豹“东东”先生及“楚楚”小姐为大家献上“顶球倒立”、“水中花样接圈”、杂技表演“滚木桶”、“模仿秀”、“水中顶球”、少林绝世武功“一指禅”、“三步上篮”“鼻尖弹球”、和“空中跳跃式顶球”等一系列精彩表演。天才的杂技明星——海狮海狮是鳍足类哺乳动物。雄性体长3米左右，雌性较校它们生活在海洋中，繁殖期才到海岛上产仔。年产一胎，每胎一仔。种类主要有北海狮、南美海狮、灰海狮及黑海狮等，分布在北太平洋、美国西北部沿海、南美洲沿海及澳大利亚西南部沿海。海狮吼声如狮，且个别种颈部长有鬃毛，颇像狮子，因而有“海中狮王”之称。海狮既能在陆地上灵活行走，又能像狗那样蹲在地上。有的地区也称“海狮”为“海狗”。鳍足类动物和胡狼源自同一个祖先。大约三千万年前，海洋里的食物资源大大增加，有些象犬类的肉食动物开始慢慢转移到海洋里来寻找食物，为了适应在水中觅食，它们的身体和生理产生了很大的变化，四肢演化成鳍状以方便在水中游泳，经过长时间的演变进化，就形成了现在的鳍足类动物。深海潜水员——海豹海豹别名斑海豹、港海豹，属鳍足目海豹科，体长2米左右，雄性略大于雌性。体粗圆呈纺锤形，眼大而圆。主要分布于渤海、黄海，东海也有发现，个别远达南海。海豹是海洋中的生存强者，同样扮演着海中杀手的主要角色！海豹的体型较大，形似大象，生性倔强，爱发脾气，具有很强的捕杀能力。全世界共有34种海豹，南极地区有6种，即锯齿海豹、象海豹、豹型海豹、威德尔海豹、罗斯海豹等，约占世界海豹总数的90％。显然，南极地区是海豹的重要产地。海豹身体肥胖，皮下脂肪厚，颈粗头圆，在陆地上只能借助身体的蠕动匍匐先进，非常笨拙，但在水下则相当灵活，且善于深潜，可以潜入数百米的深处。,027-86772929;027-86786048,,半天,,80.00元 儿童票（1.2米以下儿童）：40元,夏季：08:30~17:30 冬季：09:00~17:00,武昌区东湖梨园(原楚人狂欢岛内）,,31646,东湖海洋世界
98,湖北武昌长春观长春观位于武昌大东门东北角双峰山南坡，黄鹄山(蛇山)中部，是我国道教著名十方丛林之一，为历代道教活动场所。称“江南一大福地”。观内崇奉道教全真派，以其创始人重阳祖师门人邱处机道号“长春子”命名。该观始建于元代，为邱处机门徒所建，以纪念道教全真派北七真之一，龙门宗的创始人丘处机(公元1148年-1227，字通密，号长春子)在元军南下时“一言止杀“济世救民之劝德。始称“长春观”。长春观历史悠久，道学渊源，被武汉市列为一级文物保护单位。不仅是一座道教修身养性、礼神朝真的宗教活动场所，也是处风景清幽、建筑典雅的游览胜地。其历史悠久，风景清幽，山势峻美，福地洞天，就连远在江西的庐山历史上也设有长春观的下院。相传古代，此地为湖汊，因多松树而称之为“松岛”。楚地崇巫，甚有影响。故秦汉以后，此地有“先农坛”、“神祗坛”、“太极宫”之称，即王侯祭祀天地、祖先之地。据传道教始祖老子曾应弟子之邀赴庐阜“会五老”，到了江南鄂州即西转而到湖港之乡、双峰山麓的长松岛。人们为了纪念他，附会说此松岛为长松岛，建老子宫以示纪念。南宋的朱熹在他的《鄂州社稷坛记》中真实地记载了这块风水宝地：“城东黄鹄山，废营地一区。东西十丈，南北倍差，按政和五礼画为四坛”。元初时，全真龙门派创始人丘处机，号长春子，创道教十方丛林制度多次受元太祖成吉思汗的封赏，掌管天下道教。于是丘处机便派弟子至荆湖之地的武汉创办道教丛林，弟子为纪其事，在松岛修建长春观，祭奉长春真人。每年农历正月十九为长春真人圣诞，长春观要举行隆重盛大的丘祖会，武汉民俗称之为“迎春会”，也称“燕九节”。《桃花扇》的作者孔尚任为此作有《燕九竹枝词》：“才是星桥又步云，真仙不遇心如结”，描绘了这一盛会。明时楚昭王朱桢过生日，至黄鹄山的长春观为其父朱元璋祈寿降香，劝长春观”长春二字改此山为长春山。清诗人王柏心在《过长春观鹿频炼师气诗》中道：“山川俯迎劫灰余，杰观盍开阆苑居；紫府琼台仍缥缈，亡都金阙故清虚”。乃言长春观几经战火，几经修复，历史沧桑。,,,,,,,武汉市武昌区中华路,,6210,长春观
41,,0510-85133343,,2小时,,门票50人民币,07:00~18:00,中国湖北省武汉市武昌区沿湖路,,6208,梨园风景区
65,,027-82778908,,,,,,武汉市江岸区汉口沿江大道162号,,6239,宋庆龄旧居
137,,027-88848780,,,,,,中国湖北省武汉市武昌区中山路368号,,3319445,湖北省美术馆
31,,,,,,,,武汉市洪山区东湖东路,,35617,楚天台
44,木兰山是大别山南麓的高峰之一。因山中多长木兰树，故名木兰山。又因“木兰将军”的传说，使山蒙上神秘色彩。山上现存“木兰将军之墓”碑。木兰山以其山势嵯峨、群峰攒族、云雾缭绕、古木参天为游客称道。这里的山、水、花、木、宫、殿、阁，几乎都和千古流芳的木兰将军息息相关。,027-61501019,,1天,在武汉客运港乘坐市郊旅游1路专线车，16元；或从武汉市内乘车至黄陂，汉口新华路长途汽车站每早7:50发车，13元，转当地巴士到木兰山，车费5元。,成人票50 元，学生、军人半价,07:00-18:00,武汉市黄陂区长轩岭镇,,3473448,木兰山
121,武汉动物园坐落在武汉市汉阳墨水湖畔，它的前身是武汉市中山公园动物园，是在原汉阳区苗圃的基础上兴建的。现有陆地面积42公顷，内湖水面26.7公顷（马沧湖）。全园三面环湖，形成半岛，具有湖光山色、鸟语花香的自然景观。该园分前、中、后三区。前区为水陆游乐区；中区为野生动物展览区，并配置园林景观；后区待开发建设，拟建动物自然放养场和后勤基地。武汉动物园是融野生动物移地饲养与繁殖、保护与研究、收容与救护、动物科普知识教育、演展娱乐为一体的综合性园林化动物园。建有百鸟乐园、鹤岛、天鹅湖、中型猛兽馆、大熊猫馆和小熊猫馆等五大展区20余座动物馆舍。还建有兽医院、繁殖尝饲料房、供热中心等后勤设施。拓有郢趣园、湖光轩、樟树林、九孔桥、大门绿化广场等80处园林景点及20余个游乐、餐饮服务设施。园内以观赏动物为基础，以发展灵长类尤其是以神龙架亚种金丝猴种群为特色。现有大熊猫、金丝猴、白熊和丹顶鹤等珍禽异兽200余种2000余头（只）。植物以常绿树为骨干，以樟树、池杉、水杉、竹为特色，现有树木花卉180余种近8万余株，另有大面积的纯草坪及自然植被。绿化覆盖率达81.3%。1987年7月，经国家建委考察，武汉动物园被纳入全国八大动物园之列。 1975年-1984年，是筹建开拓阶段，1982年2月，武汉动物园建设被列入六五计划，并定为武汉市的十件大事之一。1984年10月，中共武汉市委、市政府动员武汉空军部队指战员12500多人次和全市园林系统的职工，开展了声势浩大的军民共建武汉动物园大会战，吴官正、王群、钱运录等当时在武汉市任职的领导同志及武汉市其他有关领导志均参加了建设武汉动物园的义务劳动。历时100天，分别建成前区与中区的路、堤、大门、停车尝环湖路等8项工程。1985年2月20日（春节），武汉动物园正式对外开放，按照当时的总体规划，边开放，边建设，边完善。该园与国内、国外动物园有着广泛的交往，先后与日本犬山动物园、美国俄亥俄 州的克利夫兰动物园、德国的杜伊斯堡动物园结成友好动物园并进行了大批量的动物互赠互换。1986年，克利夫兰动物园赠送黑猩猩、环尾狐猴、金刚鹦鹉、浣熊等4种8只动物，1990年赠送金刚鹦鹉、松鼠猴、白头绒猴、黄猩等4种10只动物，1989年杜伊斯堡动物园赠送斑马1对，河马1只，1994年赠送长颈鹿2只。这些友好使者来该园落户，提高了该园动物展览的质量。,027-84844610;027-84844187,,,,20.00元,09:00~17:00,动物园路60号,,3359887,武汉动物园
70,武汉经济技术开发区位于武汉西南，区内花团锦簇，绿树成荫，三角湖、后官湖等七个湖泊如“七星捧月”般将开发区“簇拥”在湖光水色之中。武汉体育中心就坐落在开发区的中心地带。,027-68840005,,,,,,武汉市蔡甸区,,6225,武汉体育中心
101,,,,,,,,中国湖北省武汉市洪山区石门峰路,,3451804,辛亥革命纪念园
84,黎黄陂路和黄陂路是一条路，黎黄陂路，全长604米，建于1900年（光绪26年），为黄陂人所建，故名黄陂路。后划入汉口俄租界，称夷玛路。位于武汉市江岸区。因两任中华民国大总统黎元洪是武汉黄陂人，人称黎黄陂，所以此路又于1946年改称黎黄陂路。黎黄陂路是武汉著名的“慢生活”街区，是汉口神采与气质的延续。,,,,,,,武汉市江岸区,,9008233,黎黄陂路
88,享有“西陵胜地、楚北名区、陂西陲障、汉地祖山”美誉的云雾山，地处武汉市黄陂区西北部泡桐店境内，距武汉市中心城区65公里，距黄陂城区29公里；是一处以山地为主的自然风景区，主峰海拔709米，属武汉市最高峰。木兰八景之一，国家AAAA级景区。木兰云雾山风光宜人、空气清新、水质清澈，在木兰旅游圈中最高大、最幽深、最原始、最神秘、最纯粹，集峰、谷、涧、潭、堰、瀑、泉、溪、花、草、石、木、寺观、古寨、古建筑和高大山体于一身，景观生态、多样而丰富。,027-61668499;027-61661366,http://www.yunwushan.cn/,,1、从武黄高速、汉宜高速、京珠高速上武汉外环至黄陂木兰云雾山； 2、新荣村客运站、竹叶山站可乘专线巴士可直达黄陂木兰云雾山； 4、汉口火车站乘公交292到黄陂客运站转乘专线巴士可到达木兰云雾山； 自驾线路 路线一：汉口竹叶山走岱黄高速到黄陂向左转走黄孝公路至达义向右转走祁泡公路到泡桐店乘专线巴士15分钟即可到达云雾山景区。 线路二:武汉汉口走机场高速经天河经祁泡公路到泡桐店乘专线巴士15分钟即可到达云雾山景区。 线路三：中环将军路到横店再到张家店互通经祁泡公路到泡桐店乘专线巴士15分钟即可到达云雾山景区。,景区门票：50元/人 注：景区门票80元/人，2013年9月1日—12月31日景区门票优惠即50元/人 优惠信息：  学生凭学生证、60岁-70岁凭证件享受半价优惠 1.2米以下儿童免票，70岁以上老年人凭证免票。 景区电瓶车10元/人/段 景区导游讲解80元/团/天,7：00—19：00,武汉市黄陂区李家集,,5433190,武汉木兰云雾山景区
55,黎黄陂路位于湖北省武汉市汉口，其全长604米，建于1900年（光绪26年），为黄陂人所建，故名黄陂路，其前身是俄租界时的夷玛街。因两任民国大总统黎元洪是黄陂人，人称黎黄陂，所以此路又于1946年改称黎黄陂路。1997年武汉市江岸区政府将其辟作街头博物馆加以保护。 1861年汉口开埠后，列强纷纷涌入。在黎黄陂路（夷玛街）周边2.46平方公里的区域内，划分了英、法、俄、德、日五国租界，建立了12个外国领事馆、近30家外资金融机构和100多家洋行，汉口呈现了一派带有殖民色彩的畸形繁荣，成为殖民者们乐而忘返的“东方芝加哥”。而位于租界中心的黎黄陂路，则是这段屈辱历史的缩影。 如今黎黄陂路街头博物馆包括十七处古建筑，在街头与街尾都立有碑牌标示。,,,,,,,湖北省武汉江岸区黎黄陂路55号附近,,7389666,黎黄坡路街头博物馆
113,木兰草原——华中唯一的AAAA级蒙古风情景区，位于武汉黄陂王家河镇街聂家岗，荆楚名山——木兰山东面，湖北十大休闲度假区——木兰湖的南面，属“木兰八景”之一。景区距武汉市城区36公里，最近的高速出口12公里，交通十分便捷。景区规划面积4800亩，分为草原风情旅游区和休闲度假区，融草原风情观光、户外拓展、水上游乐、商务会议、休闲度假为一体，是目前华中地区唯一的以草原风情为主题的AAAA级风景区。,,,,1. 外地到木兰草原：从任何一条高速上武汉外环—岱黄高速----黄陂城区（黄陂大道）----滠水桥----火塔公路----彭岗----木兰草原（黄陂转盘后沿途有路牌指示） 2. 武汉城区：汉口竹叶山----岱黄高速----黄陂城区（黄陂大道）----滠水桥----火塔公路----彭岗----木兰草原（黄陂转盘后沿途有路牌指示）,门票80人民币,8:00—17:30,武汉黄陂王家河镇街聂家岗,,5504185,武汉木兰草原
60,,027-81562008,,,,,,武汉市江夏区金口街,,35625,中山舰博物馆
26,,,,,,,,中国湖北省武汉市武昌区,,6952259,武汉长江大桥建成纪念碑
37,生态旅游、旅游休闲、观光览胜,027-87639763,,,,门票36人民币,,武汉市洪山区九峰村,,5427233,武汉九峰森林动物园
51,一条青龙和一条黄龙在这里交汇——南岸嘴在中国地理上是一个非同小可的地方，被誉为“中国第一角”。因为它是中国最大的河流长江和长江最大的支流汉江交汇处形成的冲击地带。有人说南岸嘴是中国的丹田所在，寓意这里是中国精气最集中的地方。,,,1小时,乘30、108、 248、 531、532、 535、 553、 559、561、648、711、803路到滨江大道晴川阁下，向汉口方向步行500米即到。,免费,全天,武汉市汉阳区南岸嘴,,5614901,南岸嘴
55,,,,,,,,武汉市武昌都府堤二十号的中华路小学谭秋校区,,6202,中共五大会址纪念馆
83,青山环抱，溪流环绕，风水极致,027-61521111,,半天,,80.00元,08:00~20:00,湖北省武汉市黄陂区蔡店乡道士冲村,,7047484,锦里沟
25,,027-85795934,,,,,,湖北省武汉市硚口区解放大道1265号,,6630971,汉口中山公园
31,,027-88073189,,,,,,湖北省武汉市武昌区武昌紫阳路151号(紫阳湖公园对面),,35824,紫阳公园
61,,,,,,,,湖北省武汉市汉阳区滨江大道,,3300122,汉阳江滩公园
68,林区内溪流潺潺，林木遮天蔽日,,,,,,,湖北省武汉市黄陂区前川街城北木兰山风景区,,7047500,木兰山风景区
43,,,,,,,,武珞路47,,3319317,首义公园
33,,,,,,,,武汉市洪山区光谷世界城意大利风情街,,9320843,光谷多莫大教堂
47,清凉寨景区位于武汉市黄陂区蔡店街道西北部，是中国木兰八景之一。现为国家AAAA级景区。距武汉市中心城区85公里，距黄陂中心城区（前川）62公里，平均海拔600余米，景区总面积6000余亩，辖区内的刘家山是武汉市海拔最高的自然村。该村地貌独特，相对海拔较高，年平均温差低于武汉市中心城区4-6度；山体高大陡峭，植被丰富，层峦叠嶂，十分壮美，具有发展生态观光旅游和城郊休闲度假旅游的显著优势。,027-61539008,,,1、从武黄高速、汉宜高速、京珠高速上武汉外环至黄陂木兰清凉寨； 2、汉口新华路、竹叶山乘专线巴士可直达黄陂木兰清凉寨； 3、武汉港乘市郊一日游专线车可直达木兰清凉寨； 4、汉口火车站乘公交292到黄陂客运站转乘专线巴士可到达木兰清凉寨； 5、自驾游：从竹叶山上岱黄高速公路到黄陂前川，走黄土一级公路，过姚集镇走姚集公路到蔡店乡，然后前行十公里即到。,50元,07:30—17:30,武汉市黄陂区蔡店街道西北部,,5432655,武汉木兰清凉寨
28,在汉阳古琴台，坐公交车到“古琴台”站下车即到，武汉三镇都有车。如果是在青山区，就坐车到“钟家村”这一站下车。不要门票，规模很大的市政公园，规划的很好，环境不错！,,,,,,,湖北省武汉市汉阳区琴台大道,,7392780,琴台公园
47,"湖北美术学院。坐落于湖北省武汉市，是我国华中地区唯一一所多学科门类与多学历层次的高等美术学府。中国八大美院之一。学校前身是创办于1920年的武昌美术学校，后定名为""私立武昌艺术专科学校""（简称武昌艺专）。武昌艺专是中国现代第一所私立艺术教育学堂，作为我国开办最早的三所艺术专科院校（北平艺专、杭州艺专、武昌艺专）之一和中国近、现代高等美术教育的发源地之一，迄今已有90余年的办学历史。",,,,,,,中国湖北省武汉市武昌区中山路374号,,5686674,湖北美术学院
145,"黄陂大余湾属黄陂区管辖的研子岗镇，依山傍水，宁静如画。占地面积300亩，该村的古建筑群属明末清初的民俗建筑，20余条巷子纵横分隔。现存50多户石砌屋，大部分至今仍保持较完好。这些石屋雕梁画栋，是典型的明清徽派建筑风格。该村先祖曾有过“一门三太守,五代四尚书”的辉煌历史。 大余湾距武汉市区40公里，坐落在乡村的公路边。村头是一望无垠的农田，田边散见丰收后堆积的小山似的稻草垛，还有三三两两的水牛在田间放牧。走进小溪环绕的村口，青石小径蜿蜒前伸，一幢幢古旧的房屋连环而建，一律的青条石墙，黑瓦飞檐，形成院落交错的小巷，石磨、古井、油漆斑驳的木亭散布其间，偶见残缺的木石雕刻、画梁牌匾，依稀可以想见旧时的精美。 　　虽说大余湾现已声名渐起，村民们依旧过着质朴平静的生活，老人闲坐在屋门口聊天，小孩子在巷子里自由玩耍。遇到进村参观的游客，他们会热心地为你指点路线，任凭游人自由地穿行在村中。大余湾村寨后面群山连绵，乃是木兰山余脉，不远处，滠水河似一条银色的飘带，环绕山岗缓缓流淌。山势不高，不一会我们就爬上了山顶，眺望山下，大余湾的全貌一览无遗，大余湾就静卧在这青山绿水间，气定神闲。我们也静静平躺在草地上，闭目休憩，浑然不觉时光流逝。",027-61561777,,,搭车：从汉口竹叶山转盘处乘车到“梳子店”的班车，一日数班，票价8元，到大余湾需时1.5———2小时。也可乘车先到研子，再乘面包车东行5公里左右至大余湾。（票价10元左右）。 自驾：去大余湾与去木兰山是同一条路线。如走南线，从研子岗镇就要东拐了，从木兰山川下游进入，不必翻山坡，但要经天然堤涉过滠水河。如走北线，从长岭镇东拐，有一条南向岔道可翻山入川（可惜还未安装指路标牌），翻山时有几个盘山弯道还是要格外小心。,成人50元,08:00—17:00,黄陂区研子岗镇双泉村,,5426656,黄陂大余湾
18,阅马场位于湖北武汉市武昌城区中部，蛇山南麓，东接蛇山洞延伸出来的武昌路，南至阅马场小学，西到湖北剧院，北临蛇山南麓黄鹤楼下，东西长100米，南北宽300米（另一资料为东西长200米，南北宽400米，可能因计算方式不同）。武珞路以此为起点，横贯广场的中部，并向东伸展，西北与武汉长江大桥的引桥公路相连，西南与彭刘杨路相通，是连通武汉三镇的主干道。,,,,,,,湖北省武汉市武昌区蛇山南麓,,6630983,阅马场
24,武汉大学信息科学学部是原武汉测绘科技大学。2000年原武汉大学、武汉水利电力大学、武汉测绘科技大学、湖北医科大学合并成新的武汉大学后成为武汉大学信息科学学部。信息科学学部现有六院一系，分别为计算机学院、遥感信息工程学院、电子信息学院、国际软件学院、测绘学院、资源与环境科学学院和印刷与包装系。,027-68779405,,,,,,中国湖北省武汉市洪山区珞瑜路,,5689312,武汉大学信息学部
23,,027-88075010,,,,,,湖北省武汉市武昌区梅家山,,35626,起义门
20,,027-87639763,,,,60元,,湖北省武汉市洪山区九峰乡狮子峰特1号,,35703,九峰国家森林公园
