pics,summary,tel,site,time,traffic,ticket,opentime,location,insides,id,name
20,汤逊湖旅游度假区是由湖北华泰置地实业股份有限公司建造投资额达二亿多人民币，占地面级为十平方公里，坐落于国家级武汉东湖心技术开发区庙山小区，该度假区位于景色秀丽的汤孙湖畔，自然景观令人心旷神怡、流连忘返，首期开发轶平方公里。汤逊湖位于湖北省武汉市江夏区汤逊湖畔，占地面积近32万m2里，是全国首家以图腾文化为主题的度假区。该度假村是按照“天人合一、返朴归真、回归自然”的思想组建的，其主要代表作为68个各具特色的民族大型图腾陶雕组成的图广场，以及由近两千条不同时代风格的图腾龙构成的文化艺术长廊。村内设有垂钓、游泳、射箭、网球、休闲别墅、蒙古包、人造瀑布、九曲桥、龙王庙、白塔、观音岛等项目和景点。同时还经常举办各类大型图腾文化表演、古神秘祭祀、焰火晚会、假面舞会、篝火晚会、民间杂耍等娱乐活动，备受广大游客青睐。,,,,,,,武汉市武昌区江夏大道,,31569,汤逊湖
59,张公山寨位于武汉市洪山区城郊，毗邻武钢白玉山，与东湖风景区隔坝相望。景点景区有张公山寨、橘子洲、桃花岛、吴主寺、开心农场、森林别墅、拓展演习、真人CS战场、严西湖几大 点。园内可乘游船游览，是集湿地生态景观、农业休闲、旅游度假为一体的湿地生态园。 严西湖之胜，独在于水。严西湖湖面2万亩，湖岸线66公里，有99个湖汊，由56个山头环抱，湖水清澈，湖面浩淼。各景点间分布着众多的港汊和鱼塘，形成了严西湖独特的湿地景观。 严西湖之重，重在生态。张公山寨置业有限公司遵循“生态优先、最小干预、注重文化、以人为本和可持续发展”原则，园内除保留原有地形、地貌外，遍植树木、花卉，生态园就是一个天然的绿色氧吧。 严西湖独特的自然景观也孕育了丰富的人文景观，湖边的张公山、吴主寺、十美寺、朱山、鼓架山等，遗存有关孙权、朱元璋、刘伯温、楚庄王、张之洞的人文典故，令人寻奇。,027-86411117;15377664609,,,1．自驾车： A汉口、武昌——青山——和平大道——21号公路——白玉山——张公山寨 B汉阳、武昌——珞瑜路——森林公园——老武汉公路——花山镇——外环（往孝感方向进道道通）——第2个出口北湖站下——张公山寨 C 汉阳、武昌——珞瑜路——森林公园——三环———武汉火车站——青王路——青化路——张公山寨 2.公交车：乘以下215、53、201、525、231路公交车到终点站后搭乘面包车（10元/趟）直达张公山寨大门。 3.景区旺季（3月、4月、5月、9月、10月、11月）会开通张公山寨景区直通车，为游客去游玩提供了更大的方便。,张公山寨门票：张公山寨（含门票、船票、橘子洲）成人票60元/人，特殊人群45元/人；李庄门票：成人票50元/人，特殊人群40元/人；张公山寨、李庄一日游通票成人100元/人，特殊人群80元/人。特殊人群指：儿童身高在1.2-1.4之间；中小学生、大学生学生：凭学生证；60岁以上持老年票。司陪、导游凭证免票；导服费：50元/30人以内、80元/30人以上。,08:00-17:00,白玉山街张公山寨严西湖畔,,5426933,武汉张公山寨
21,"剧院位于月湖之畔，汉江之滨，隔湖南望始建于明万历年间的古琴台，作为月湖文化艺术主题公园的核心组成部份，它将成为武汉最高档次的文化表演场所，也是2007年第八届中国艺术节的主会常琴台大剧院总建筑面积65650平方米，由一个1802座的综合大剧尝一个约400座的多功能厅以及艺术展厅、艺术排练厅、餐厅等多项演出服务设施组成。大剧场采用传统的“品”字型舞台，建筑台口宽18M，高12M，舞台总进深50M，宽72M，拥有一个由两部分组成的面积为92㎡的乐池，可容纳120人的乐队，具备接待大型音乐剧、歌剧、芭蕾、歌舞剧、戏剧、音乐会等各类艺术表演的全栖功能。多功能厅舞台长26M、宽16M、高11M，内设置升降台14块，通过不同组合方式，可以实现不同剧场形式，即：小型剧尝会议厅、“凸”型舞台、“T”型舞台、中心舞台和平面大厅等6种形式。舞台上下方设备联动,组合模式千变万化,给艺术创造巨大空间,能满足国内外各类歌剧、音乐剧、戏剧、戏曲、音乐会使用要求。大剧院2004年5月开工,2007年8月竣工,由武汉市政府投资15.7亿，占地面积24543平方米,总建筑面积65650平方米,地下4层,地上6层,建筑高度40米。其中大剧场有1802个座位,跻身国内特大型剧常大剧院建筑涉及20多个专业,建筑领域公认最难。琴台大剧院,是目前国内大型剧院中,唯一由中国人原创设计——广东珠江设计院在大剧院方案国际招标中胜出。建筑师做大剧院,是一辈子荣幸。从未做过剧院的武汉地产集团,攻克大量技术和施工难关,在琴台大剧院项目上,创下了多项国内纪录,建设质量、速度和成本控制,全国领先。 外观的琴键飞奔,水袖飞舞神韵,青铜幕板的历史厚重感,还有大剧场的红色主调,琴台大剧院让人体味浓郁楚文化。当初,一些专家担忧,大色块用红会让人发疯。不久前,国家大剧院设计师的首席色彩顾问来汉,认可大剧场色彩,更有专家评价:荡气回肠。近来,视察琴台大剧院的领导、院士、专家不少,他们有个共识:媲美国家大剧院、上海大剧院、广州大剧院,填补中部地区高品质文化设施空白。现代化的大剧院是一个国际性城市必备的基础设施。这种剧院要具备三个特性:剧场功能的国际性、剧场设计的民族性、观演定位的便民性",027-81880089,http://www.whqtdjy.com/,,乘658路到琴台大剧院下车即达。或者坐车到鹦鹉大道古琴台站（参考古琴台交通）下车步行700米即到,根据不同演出决定,根据演出时间确定,武汉市汉阳区知音大道6号,,5434209,琴台大剧院
26,中山大道（武汉） 是一条从西南部的硚口路到东北部的黄浦路，贯穿整个汉口中心区的商业街，总长8445米。中间与武胜路、三民路、民生路、江汉路、南京路、黄石路、黄兴路、车站路、蔡锷路、胜利街、一元路、三阳路等共48条能通行机动车辆的街道相交，南与沿河大道和沿江大道、北与解放大道和建设大道平行。,,,,,,,湖北省武汉市硚口区中山大道,,7392614,中山大道
19,,,,,,,,湖北省武汉市江岸区洞庭街,,6630970,长江武汉关
38,,,,,,20元,,中国湖北省武汉市武昌区东湖路,,5682581,东湖牡丹园
18,中南财经政法大学是中华人民共和国教育部直属的一所以经济学、法学、管理学为主干，兼有哲学、文学、史学、理学、工学、艺术学等九大学科门类的全国重点大学，是国家“211工程”和“985工程优势学科创新平台项目重点建设高校。 学校前身是1948年建立的以邓小平为第一书记的中共中央中原局创建，并由陈毅担任筹委会主任的中原大学，1953年院系调整成立了中南财经学院、中南政法学院。1979年湖北财经学院划归财政部领导，1984年12月更名中南财经大学。2000年由原隶属于财政部的中南财经大学和原隶属于司法部的中南政法学院合并组建新的中南财经政法大学，现为中国最知名的财经、政法类高校，在同类院校中拥有最多的博士点。,,,,,,,中国湖北省武汉市江夏区民族大道,,5693824,中南财经政法大学
53,,,,,,,,湖北省武汉市汉阳区龟山北路1号,,9229937,汉阳造广告创意园
17,,,,,,,,湖北省武汉武昌区武汉大学-图书馆,,5688520,武汉大学-图书馆
33,龟山电视塔全称湖北龟山广播电视塔，是我国自行设计、施工的结合旅游的第一座钢筋混凝土广播电视发射塔。该塔于1981年12月16日破土动工，1986年6月竣工投入使用。塔高221.2米，海拔标高311.4米，相对高度280米，就高度而言，建成时居全国之首[1]。龟山电视塔是中国第一座电视塔，坐落于武汉市汉阳龟山之巅、长江和汉江的交汇处，是武汉著名的旅游景点及城市地标，与黄鹤楼遥相呼应，脚下是晴川阁和“万里长江第一桥”——武汉长江大桥，身后是“三楚胜境”之一的——古琴台。此塔是我国的设计人员在没有可借鉴和参考经验的情况下，自己设计的国内第一台电视塔，是一个集发射传输、观光旅游等多功能于一体的完全由我国自行设计和施工的电视塔，有“亚洲桅杆”之称。1986年12月正式对外开放旅游，由前国家主席李先念亲笔题写塔名。,027-84713530;027-59511208,,,10路  10路通宵线  401路  402路  411路  584路  61路  电车1路 长江大桥汉阳桥头下,120元,9:30-----20:50,中国湖北省武汉市汉阳区龟山北路,,5422579,龟山电视塔
23,,,,,,,,中国湖北省武汉市武昌区解放路255号,,5687909,武汉音乐学院
36,,,,,,,,青山区武昌和平大道1546号,,3322209,青山公园
45,大小瀑布起伏跌坨，溪泉交汇，潭溪相接,027-61598318,,,,50.00元,07:00~17:00,湖北省武汉市黄陂区姚家集镇,,7047493,木兰古门
24,,027-88875306,,,,,,武昌区武昌都府堤20号,,31643,武汉市革命博物馆
11,"电视塔座落在武汉风光秀丽的龟山之颠，矗立于长江与汉水的汇合之处，占据绝佳的地理环境，也是武汉市最高的建筑物。它建在１０４m-１３５m间的塔楼设有旋转餐厅,音乐茶座和眺望平台，供旅游活动面积７４０平方米，能同时接待３００人游览。在这里俯视武汉三镇，如登白云，临空鸟瞰，令人流连忘返。",027-84713691,,,,,,武汉市汉阳区古琴台路旁(龟山上),,6244,武汉电视塔
22,龙泉山位于武汉市江夏区龙泉乡。其山东南北三面环水，东面是以盛产武昌鱼名噪海内的梁子湖，南北则有两条山脉自西向东连绵9公里，与处于盆地中的景区形成二龙戏珠之势，形成风景区内7.6平方公里的幽谷风光带。《江夏县志》载：“龙泉山古称灵泉山，因灵泉寺山中有色碧味甘的清泉潭而得名。”龙泉山顺龙盘结，群峰高耸，其山三面临牛山湖与三汊港，在无边碧浪之间，逶迤崛起云山、大龙山、二龙山、龙嶂峰、玉屏峰、天马峰、马鞍峰等，自古这里被视为山环水绕、湖山钟秀、林泉幽穆的“福地仙壤”。龙泉山人文历史可追溯到西汉时期。当时这一地区为舞阳侯樊哙孙樊建的封地，名为江夏，所以其山称为江夏山。唐朝初年改称夹山，取两山夹道而行之义。唐朝天宝末年，宰相李蹊开基造屋，凿地得泉，形成东西两井，东井冒气则晴，西井无气则雨，占验灵准，因此又称灵泉山。汉高祖刘邦以武昌为樊哙封地，樊哙死后，就葬于天马峰下。从汉代起，就有许多隐逸之士迁到灵泉山来隐居，遂成灵泉古市，“形胜甲于一邑”。清同治《江夏县志》有载：“灵泉古市始于汉，迄唐宋而兴盛。”在环山7平方公里的幽谷盆地上，或倚山为亭阁，或随水为轩榭，建有灵泉寺、听松阁、远眺亭、大观桥、春露亭、秋爽亭、晴雨井、百卉园、龙龟戏鱼池、蓼莪堂、含山楼、万卷书楼、拜寿台等蔚然十二大景观。这些金碧辉煌的楼台亭阁，都是樊、李、杜、张、沈、曾、董、邹八大家官府隐逸之士在此修建的，如“万卷书楼”是唐代宰相李奚修建的；“含山楼”是宋代诗人张芸臾修建的；“万寿台”是元代宰相沈如筠修建的。 此外历史上有名的晋代荆州刺史陶侃也葬于此。,027-81620543,,,,80.00元,07:30~17:30,武汉市江夏区浏芳街,,35627,龙泉山
19,,027-88850322,,,,,,武汉市武昌区都府堤41号,,31642,毛泽东同志旧居
19,,,,,,,,中国湖北省武汉市武昌区昙华林188号,,5686670,湖北中医药大学
18,在国立武汉大学时期，武汉大学的工科集中在国立武汉大学工学院，1952年—1953年间中华人民共和国政府对大学进行院系调整，武汉大学的工科集体被调出，大部分专业与湖南大学、广西大学等大学的工科专业一起组建了华中工学院，水利水电专业则在1954年组建了武汉水利学院。 1978年的改革开放之后，武汉大学开始逐渐重建工科，2000年，武汉大学与武汉水利电力大学、武汉测绘科技大学、湖北医科大学合并，武汉大学在改革开放之后重建的电气、土木、建筑、机械等专业与上述三校的相应专业合并在一起组建了武汉大学工学部。,027-87325031,,,,,,中国湖北省武汉市武昌区茶港路,,5688439,武汉大学工学部
14,市内可搭乘68、30路到滨江公园一站下，或608、801路等公交到一元路站下向江边方向走200米即到,,,,,,,在武汉市汉口江岸区滨江公园江堤上,,6156,防洪纪念碑
16,,,,,,,,中国湖北省武汉市汉阳区莲花湖路,,5685252,汉阳江滩
22,宋庆龄汉口旧居在汉口沿江大道的黎黄陂路口，有一座高三层的小楼。始建于1896年，最先是一家专门为俄茶商交易而开设的华俄道胜银行。它有着杏黄色的外表和纪念碑似的塔楼，是座典型的俄罗斯风格建筑。这是宋庆龄1927年在武汉的居所。,027-82296638,,,,,,武汉市江岸区沿江大道162号,,8598127,宋庆龄汉口旧居纪念馆
18,木兰湖旅游度假区位于武汉市黄陂区塔耳街道境内，与荆楚名岳木兰山毗邻，距武汉市区 60公里，有高速公路相通，这里水丰鸟美，人杰地灵，山清水秀，是观光旅游、休闲度假的湖北省省级旅游度假区，被人们誉为荆楚明珠、武汉市的后花园。木兰八景之一。因传说木兰将军幼时在此饮马而得名。湖区面积40平方公里，其中水面20平方公里。湖岸线长57公里，有132个湖汊，23个岛屿，13个泉眼。湖水清澈，风景纯美。湖区东岸的林区，长年栖息着各种鸟类10余万只，其中30%为国家二级保护动物。春秋之季，鹭鸟在此交替云集，蔚蔚壮观。风景区已具备食、住、游等配套服务功能，是游客垂钓、游泳、观鸟、避暑、度假的理想胜地。川内明末清初兴建的古民居民俗村——大余湾，已被批准为中国历史文化名村（湖北今仅2家）、,027-59507850,,,,,,湖北省武汉市黄陂区木兰乡小泉山村,,6630984,木兰湖旅游度假区
18,大智门火车站位于湖北省武汉市江岸区京汉街，又名京汉火车站。于1903年建成启用，新中国成立后改名为“汉口火车站”。京广铁路建成后设立新汉口站，后来仿造大智门站的建筑风格改造成今天的汉口火车站，原站址不再沿用。,,,,,,,中国湖北省武汉市江岸区京汉大道1232,,3314513,大智门火车站
21,武汉月湖公园位于武汉市汉阳区月湖畔。因古代却月城而得名，明成化年间，汉水改道，其主流经龟山北部汇入长江后留下月湖。古代时候，月湖“长约八里许，宽以一里计”，水面不下200万平方米，占地很广。   月湖公园由月湖周边五大景观组成：北岸为文化艺术中心区；南岸邻近古琴台的，为可容纳8000-10000人的露天舞台广场；东侧是小月湖半岛；西南边与梅子山相近。月湖景观的设计主旨，是建造一个展示月湖地区文化历史底蕴、集休闲娱乐为一体、自然风景迷人的主题公园。,,,,,,,湖北省武汉市汉阳区,,3298692,月湖公园
25,景区植被繁茂、沟壑纵横、山泉潺潺、鸟语花香，四季景色迷人。生长于林间的蕨树是与恐龙同时代的植物，同国宝中华鲟一样是受国家保护的活化石。大片的橛树林，繁茂昌盛，郁郁葱葱，每天释放大量的氧离子，经测定空气中的氧离子含量是城市中心区域的十倍以上，形成了绝好的天然氧吧。春来踏青摘蕨菜、夏至观荷摘西瓜、秋来登高摘蜜橘、冬至踏雪观雾凇。四季土菜风味独特，别墅休闲心旷神怡，绿茵草坪体验高尔夫乐趣！景区主要旅游项目有：水上游乐、高尔夫球、一世姻缘锁情、知音文化展示、森林穿越运动、丛林野战、森林浴场、垂钓休闲、烧烤露营、天台观景、别墅休闲度假、田园采摘等30余处景点；为游客提供生态度假、商务会议、学习培训、运动休闲等不同档次不同功能的旅游服务产品。,027-69307029,,,（1）每天上午8：00至下午6：00汉阳客运站有专线巴士往返景区。每周六、黄金周期间上午8:00至9:00，可在武汉（汉口）客运港旅游集散中心（507终点站）乘坐一日游专线车。,50元,08:30—17:00,武汉市西郊的蔡甸区永安街,,5432184,武汉九真山风景区
8,中国地质大学逸夫博物馆的前身是中国地质大学（武汉）博物馆，已有23年的建馆历史。长期以来，该馆在为高校教学、科研服务的同时，一直坚持面向社会广泛开展地学科普教育，精心打造科普教育的品牌，取得了显著成绩，赢得了社会各界的一致赞誉，得到了国家和省、市有关部门的良好评价。 交通,,,,,门票35人民币,,湖北省武汉市鲁磨路388号中国地质大学博物馆,,5427484,中国地质大学博物馆
12,,,,,,,,中国湖北省武汉市洪山区公正路,,6720615,湖北省图书馆
13,,,,,,,,中国湖北省武汉市硚口区沿河大道246号,,3298701,汉江江滩
19,,,,,,,,湖北省武汉市武昌区都府堤41号,,6630972,武汉毛泽东故居
12,蛇山位于武汉市武昌区长江南岸边。蛇山又名黄鹄山，绵亘蜿蜒，形如伏蛇，头临大江，尾插闹市。与汉阳龟山隔江相望，武汉长江大桥的南岸和汉阳龟山的北岸为一桥飞架的南北交点。蛇山长约1790米，海拔85米，宽约25—30米，山上古迹甚多，名胜也不少，均呈斜陡长狭形，形势十分险恶。在长约2公里的山上，历代建有众多的名胜古迹，驰名的楼阁亭台有20多处，历代名人崔颢、孟浩然、李白、王维、陆游等10多人，均先后登临游赏，吟诗作赋，留下“寒花媚幽石，疏林带高阁”，“桃桦深处暖云浮，隔树红妆倚翠楼”等名句三国时期，蛇山称江夏山，又名紫竹岭。北魏时称黄鹤山，宋朝称石城山，元朝时称长寿山，明朝时被誉为金华山和灵山。其间，以蛇山为山名，是南宋诗人陆游的《入蜀记》中“缭绕为伏蛇……”故后世称蛇山者为多；至清乾露江夏县志》已有蛇山之名。1909年《湖北省城内外详图》正式标名为蛇山。早在公元223 年，三国时筑夏口城于其上，历代不断扩建，名区 胜景甚多。驰多的楼阁在黄鹤楼、八极楼、白云楼、留云阁、一览亭 等达20多处，故有“鄂之神皋奥区”的美称。历代名人如崔颢、孟浩 然、李白、白居易、王维、陆游等，均先后登临游赏，行吟作歌，留 下佳作颇多。现存胜迹可供参观游览的有：在蛇山之巅的黄鹤楼；在 长江大桥引桥东头的胜象宝塔；在蛇山南麓的陈友谅墓；在蛇山中部 顶端的岳武穆遗像亭，简称岳飞亭；在蛇山南腰处的抱冰堂；在蛇山 尾部武昌大东门外的长春观，以及许多重要的石刻碑刻等。其名胜古迹数不胜数，现存除黄鹤楼外，尚有白云楼、八极楼、静春台、奇章台、斗姥阁、留云阁、西夹阁、仙枣亭、石照亭、压云庄、一览亭等二十多处。飞檐崇脊，危耸半空；金碧辉煌，且大都与道教及神话传说有关。蛇山尾部的长春观，建于元代，是此山的道教中心，其他另有胜象宝塔、抱冰堂、涌月台、岳飞亭、黄兴铜像及历代名士的许多重要碑刻题记等。亿万年前，武汉地区虽多次海陆交替，惟蛇山未受任何影响，它起伏自若，呈狭长形，屹立于武昌城中，山中各朝代据考证均有其遗迹，可惜至今多数已不复存在了。1924年为纪念武昌起义，将原有蛇山公元改建为首义公园，此为武汉三镇最早的公园（比中山公园早三年）。蛇山头枕大江，尾过小东门。自古以来，为兵家必争之地。公元223年，东吴筑口城于蛇山上，以御外敌，。辛亥武昌首义，起义军首破中和门（即起义门），1912年，为纪念武昌起义改中和门为起义门，当时起义军率先占领蛇山，在蛇山架炮猛轰清兵，为首义成功开辟了道路。蛇山虽不大，但名胜古迹甚多，自晋代以后，历代不断扩建，寺庙宫祠、亭台楼阁、山石秀丽，绿荫陪衬，历代名人均攀登此山观赏并写歌赋诗。写有“寒光媚幽石，疏林带音阁”、“桃花深处暖云浮，隔书红妆倚翠楼”名句佳作。此后由于天灾人祸，景观大多废毁，许多遗址不复存在。至1924年——1984年，蛇山由首义公园管辖，经多年兴建修缮有黄鹤楼、白云阁、落雁轩，辛亥革命武昌首义纪念碑、胜像宝塔、槌冰堂、古州城遗址，陈友谅墓等文物名胜亦在此山，陈友谅是元朝末农民起义军领袖，并自立为帝。陈于1363年与朱元璋决战失败后，中箭身亡，葬于蛇山。在首义公园成立槌冰堂是张之洞之门生为纪念张之洞而集资兴建。解放后，为满足劳动人民的文化生活需要，人民政府在经济十分困难的情况下，大力扶持古建筑文化不断修葺增建使蛇山景观不断添新，使蛇山昔日之辉煌再现，游人缅怀历代英豪，莫不为之赞叹不已，人们堪称武昌蛇山实为江城之一大古迹和景观，并为武汉人民仰慕之圣地。,,,半天,,20.00元,08:00~16:30,武汉市武昌区长江南岸边,,3316516,蛇山
19,,027-84706615,,,,,,武汉市汉阳区鹦鹉大道,,35630,汉阳国际博览中心
15,,027-84237002,,,,,,汉阳区车城大道118号,,31647,汤湖公园
17,,027-85360503,,,,,,中国湖北省武汉市江汉区沿江大道,,31644,龙王庙公园
17,胜天农庄的自然风景十分独特。天山古城，海拔高度587米，始建于太平天国时期，古城依山就势，以青石干砌而成，城墙高4米左右，占地面积约10000多平方米。城内建筑错落有致，布局呈田字形，现保存基本完好。城墙历经百年风雨而不倒塌。更具特色的是古城只有一独门嵌砌于城墙之上，反其道为西北而开。整个古城坐落在形如神龟的龟驮石山之上，远望有神龟托峰之势！胜天湖，位于山谷底部的风景区入口处，原名胜天水库。湖面宽阔，湖边田畴如织，山林葱郁，蓝天碧水，山色空濛，你进入农庄仿佛置身一副山水图画之中。从谷底沿山脉而上有一条长达千余米的沟壑，名叫黑沟。沟中奇石纷呈，怪树丛生，绝壁悬崖，明溪暗泉，飞禽走兽，奇花异果，无不令人惊奇。黑沟顶端的千杆竹林之下一弯碧水，洁净若雪，人称瑶池。瑶池的传说于风景一样美丽动人。沿山路而行，更有“茶麻古道”、“一龙泉”、“枫林洼”、“仓板石”、“爱峰”、“洗手堰”等亮点风景，让你领略分享。,027-85003604;13607180624,,,公交路线： A.292路（3元）公汽到黄陂转（长堰6元）巴士到长堰（坐面的25元到胜天农庄） B.汉口长途汽车站、汉口火车站（金家墩）客运站巴士（10元）到长堰（坐面的到胜天庄）武汉（汉口）距离黄陂胜天农庄全程56公里 。 自驾：从任何一个城市自驾到湖北武汉，上武汉外环高速公路--上岱黄高速公路--下高速公路转盘直行（红安、麻城方向）--过黄陂滠水大桥一公里十字路口左转（木兰草原方向，路口有个加油站）--走到18公里即到胜天农庄大门楼--进大门2公里即到胜天农庄。武昌和青山的走二桥从竹叶山上岱黄高速；汉阳和蔡甸的走三环上岱黄高速；孝感走汉十上岱黄高速，或者走杨店到黄陂 与武汉外环和岱黄高速有连接的公路：京珠高速、汉宜高速、武黄高速、汉十高速、汉英高速、武麻高速、机场高速均连接武汉外环高速和岱黄高速、自驾交通便捷，武汉城市圈2个小时均可以到达胜天农庄。,"1、胜天农庄全票：88元/张，湖北村游网预定只需：65元 2、胜天农庄老人票、学生票：68元/张，湖北村游网预定只需：48元 3、cs野战（最低预订人数10人、不含景区门票）：90元/人,湖北村游网预定团队只需：70元",08:00—17:00。,湖北省武汉市黄陂区长堰村王家河镇,,5427081,武汉胜天生态农庄
11,,,,,,,,武汉市洪山区,,6199,天兴洲
13,,027-62338069,,,,,,湖北省武汉市江岸区友谊路,,6630973,汉口近代建筑群
15,是观赏黄鹤楼、蛇山、长江的极佳景点。白云阁历史上曾是南楼的别称，阁名源于唐代诗人崔颢“黄鹤一去不复返，白云千载空悠悠”的诗句。,,,,,,,武珞路阅马场黄鹤楼景区蛇山高观山山顶,,7386714,白云阁
31,农耕年华坐落在黄陂区武湖农场汉施公路旁，占地面积3000亩。园内农业旅游资源丰富，景色秀丽，平原、草原、丘陵、山坡、湿地、湖泊、溪流、池塘错落有致；农耕作物品种齐全，花草瓜果满园飘香，珍稀植物种类繁多，飞禽走兽千姿百态；各类建筑巧夺天工，镇、村、塔、桥星罗棋布；农耕文化源远流长，农政思想底蕴厚重。农业风情园，自然环境保持完好，农业旅游资源丰富，景色秀丽，风光旖旎。地形地貌错综复杂，平原、草原、丘陵、山坡、湿地、湖泊、溪流、池塘，共处一园。园内农耕作物品种齐全，五谷蔬菜应有尽有，家禽牲畜兴旺茁壮，温室大棚布列井然。珍稀植物种类繁多，彩树竹林色彩斑斓，青藤缠绕果实累累，花草果瓜香飘满园。飞禽走兽竞展英姿，马鹿奔驰百鸟歌唱，孔雀开屏天鹅振翅，百鸡啼鸣玉兔穿梭。园内建筑巧夺天工，墨溪古镇古色古香，乡村木屋别致大方，诸多桥梁各式各样，五级宝塔巍峨雄壮。呈现出农耕园、植物园、动物园、园林园的巨幅画卷。园内文化底蕴厚重，到处深刻着农耕文化、农政思想的历史印记。,027-61818518;027-61818599,http://www.jhngnh.com,,公共交通班车： 1、竹叶山 乘293路公交车直达 2、新荣村（堤角） 乘232路到中心路下车即到 3、武汉火车站 乘234路下天兴洲大桥车转232即到 自驾游线路（无收费站） 1、长江二桥方向—永清街—二七路—堤角—武湖农场—农耕年华 2、青山方向—天兴洲长江大桥—武湖农场—农耕年华,70元,8:30—17:30,武汉市黄陂区武湖农场中心路（汉施公路旁）,,5427068,武汉农耕年华
12,,027-82435212,,,,,,武汉市江岸区解放道1821号,,5768,武汉园林
6,又称“南洋大楼”，爱国华侨简照南、简照强兄弟于1917年投资兴建，1921年竣工。大楼为前后两栋，外观雄伟壮观。1926年底国民政府从广州迁汉口，于1927年元旦开始在此办公。宋庆龄、邓演达、唐生智、谭延闿、吴玉章、林伯渠、董必武、恽代英、毛泽东、谭平山、苏兆征等人都在此工作或活动过。1927年3月10日－17日，国民党在该楼三楼会议厅召开二届三中全会。这次会议坚持反帝反封建的政治主张，坚决执行孙中山“联俄、联共、扶助农工”三大政策，对蒋介石的军事独裁进行了坚决的斗争。会议通过了《统一党的领导机关案》、《对农民宣言》、《惩治土豪劣绅条例》等20多个决议案。旧址现保存完好，在三楼辟有武汉国民政府旧址纪念馆。现为全国重点文物保护单位。,027-85663790,,1-2小时,,免费。,8:00-21:00,湖北省武汉市江汉区中山大道706号,,31583,武汉国民政府旧址
11,​“农耕年华”农业风情园，自然环境保持完好，农业旅游资源丰富，景色秀丽，风光旖旎。地形地貌错综复杂，平原、草原、丘陵、山坡、湿地、湖泊、溪流、池塘，共处一园。园内农耕作物品种齐全，五谷蔬菜应有尽有，家禽牲畜兴旺茁壮，温室大棚布列井然。,027-61818599,,,公共交通班车       1、黄孝河竹叶山乘293路公交车直达；（强烈推荐此条线路）       2、新荣村（堤角）乘232路到中心路下车即到       3、武汉火车站乘234路下天兴洲大桥车转232即到       自驾游线路（无收费站）      1、长江二桥方向—永清街—二七路—堤角—武湖农场—农耕年华      2、青山方向—天兴洲长江大桥—武湖农场—农耕年华,,,湖北省武汉市黄陂区武湖农场汉施公路旁,,7696405,农耕年华
23,荷兰风情园总占地面积近8万平方米，其中人工湖约4800平方米。公园大体呈梯形，东西长约340米，南北宽约190－250米。人工湖位于公园中央，湖边西面除了大面积种植郁金香与风信子外，还有源自欧洲大陆的西洋樱草、金盏菊、三色堇、花毛茛等花卉。整个风情园花卉总量超过45万盆。  武汉荷兰风情园位于洪山区民族大道东侧，武汉科技学院以北。武汉市园林局介绍，此处原为关山公园，去年2月武汉市政府决定将其建设成为荷兰风情园，作为该市与荷兰阿纳姆市友好交流的历史见证。  大风车无疑成为荷兰风情园的一大亮点。进入荷兰风情园，高耸的大风车直入眼帘。这个大风车高13米，扇叶半径为7米，风车转动时最高点可达到21米。,,,,,,,湖北省武汉市洪山区民族大道163号,,7392202,荷兰风情园
11,,027-85748936,,,,,,建设大道705号,,3311487,西北湖绿化广场
14,位于武汉大学校区东北方向，属于老武大“湖滨”住宿区。门内有新建的港澳台学生宿舍，和在武大传闻已久的湖滨鬼舍。 这里有亲水平台深到东湖水面上，每逢夏日就有许多武汉市民和武大学子前来免费游泳。这里也有许多摆渡的船家，摇橹船或是电动船可以将游人带到听涛景区和磨山景区。,,,,,,,湖北省武汉武昌区东湖南路凌波门,,5688581,东湖南路凌波门
7,,,,,,,,武汉市东西湖区,,35608,金银湖
9,东湖落雁景区北依白马景区，南与磨山景区隔湖相望，东临青王公路，规划用地总面积为10.24平方公里。她是国家AAAA级景区东湖风景名胜区的重要组成部分，自2000年起，先后建成了清河古桥、鹊桥相会、雁洲索桥、芦洲古渡、赵氏花园、古树奇观、雁栖坪沙、芦洲落雁等八大景观。该园植被茂盛、风动林涛、港汊交错、水鸟众多，东湖风景区得天独厚的自然风光造就了它秀美的生态环境和景观，同时园内还集中修建了一批体现楚地民俗文化历史的雕塑和建筑。,027-86430462,,,,,,洪山区东湖风景区磨山景区旁,,3303334,武汉东湖风景区落雁景区
14,,,,,,,,湖北省武汉市硚口古田四路与南泥湾大道交叉处,,9081336,江城壹号文化创意园
9,,027-82804028,,,,,,武汉市江岸区南京路124号,,35639,吴家花园
